AverageTemperature,City,month,year
25.19,0,12,2010
25.306,0,1,2011
25.386,0,2,2011
25.156,0,3,2011
26.169,0,4,2011
28.467,0,5,2011
28.486,0,6,2011
27.619,0,7,2011
28.004,0,8,2011
27.803,0,9,2011
27.422,0,10,2011
27.189,0,11,2011
26.13,0,12,2011
25.62,0,1,2012
25.367,0,2,2012
25.437,0,3,2012
24.83,0,4,2012
27.455,0,5,2012
27.931,0,6,2012
27.896,0,7,2012
27.69,0,8,2012
27.825,0,9,2012
27.981,0,10,2012
27.092,0,11,2012
26.73,0,12,2012
26.085,0,1,2013
25.745,0,2,2013
25.125,0,3,2013
25.61,0,4,2013
26.628,0,5,2013
28.092,0,6,2013
27.885,0,7,2013
27.725,0,8,2013
28.51,0,9,2013
28.122,1,6,1823
28.983,1,7,1823
27.885,1,8,1823
23.527,1,9,1823
28.27,1,8,1824
9.647,1,1,1825
11.981,1,2,1825
15.871,1,3,1825
20.933,1,4,1825
24.142,1,5,1825
27.787,1,6,1825
28.798,1,7,1825
28.094,1,8,1825
24.856,1,9,1825
18.995,1,10,1825
14.86,1,11,1825
8.719,1,12,1825
8.155,1,1,1826
10.154,1,2,1826
15.847,1,3,1826
20.165,1,4,1826
25.139,1,5,1826
27.207,1,6,1826
29.076,1,7,1826
27.42,1,8,1826
23.954,1,9,1826
19.398,1,10,1826
14.196,1,11,1826
10.338,1,12,1826
9.807,1,1,1827
13.316,1,2,1827
16.892,1,3,1827
20.713,1,4,1827
24.82,1,5,1827
27.898,1,6,1827
29.525,1,7,1827
28.653,1,8,1827
24.529,1,9,1827
19.052,1,10,1827
14.464,1,11,1827
8.757,1,12,1827
7.64,1,1,1828
10.406,1,2,1828
15.489,1,3,1828
19.785,1,4,1828
24.23,1,5,1828
28.415,1,6,1828
29.498,1,7,1828
28.451,1,8,1828
23.43,1,9,1828
19.525,1,10,1828
14.093,1,11,1828
10.266,1,12,1828
9.003,1,1,1829
9.561,1,2,1829
14.889,1,3,1829
19.534,1,4,1829
24.845,1,5,1829
27.608,1,6,1829
29.333,1,7,1829
28.461,1,8,1829
24.264,1,9,1829
19.912,1,10,1829
12.297,1,11,1829
9.442,1,12,1829
9.645,1,1,1830
12.653,1,2,1830
15.277,1,3,1830
20.318,1,4,1830
23.714,1,5,1830
27.388,1,6,1830
30.24,1,7,1830
28.418,1,8,1830
24.017,1,9,1830
19.294,1,10,1830
15.616,1,11,1830
9.958,1,12,1830
7.495,1,1,1831
9.998,1,2,1831
14.988,1,3,1831
19.246,1,4,1831
23.944,1,5,1831
27.384,1,6,1831
28.575,1,7,1831
27.292,1,8,1831
23.114,1,9,1831
18.705,1,10,1831
12.154,1,11,1831
7.704,1,12,1831
8.549,1,1,1832
10.587,1,2,1832
15.85,1,3,1832
20.501,1,4,1832
23.596,1,5,1832
27.348,1,6,1832
28.73,1,7,1832
26.537,1,8,1832
23.89,1,9,1832
19.529,1,10,1832
12.605,1,11,1832
8.563,1,12,1832
9.525,1,1,1833
11.868,1,2,1833
15.298,1,3,1833
19.791,1,4,1833
23.798,1,5,1833
27.284,1,6,1833
28.736,1,7,1833
28.139,1,8,1833
25.003,1,9,1833
18.24,1,10,1833
15.094,1,11,1833
9.944,1,12,1833
12.131,1,2,1834
16.11,1,3,1834
20.236,1,4,1834
24.666,1,5,1834
27.193,1,6,1834
29.182,1,7,1834
28.411,1,8,1834
24.776,1,9,1834
19.585,1,10,1834
14.81,1,11,1834
10.041,1,12,1834
9.745,1,1,1835
8.456,1,2,1835
13.72,1,3,1835
18.976,1,4,1835
23.396,1,5,1835
26.46,1,6,1835
27.153,1,7,1835
26.66,1,8,1835
22.789,1,9,1835
17.458,1,10,1835
10.655,1,11,1835
7.94,1,12,1835
8.588,1,1,1836
11.066,1,2,1836
14.128,1,3,1836
19.841,1,4,1836
23.239,1,5,1836
26.104,1,6,1836
27.932,1,7,1836
27.13,1,8,1836
24.014,1,9,1836
17.479,1,10,1836
11.433,1,11,1836
7.82,1,12,1836
8.783,1,1,1837
11.128,1,2,1837
14.0,1,3,1837
17.661,1,4,1837
22.587,1,5,1837
26.628,1,6,1837
28.895,1,7,1837
28.204,1,8,1837
24.112,1,9,1837
18.497,1,10,1837
14.216,1,11,1837
9.17,1,12,1837
6.678,1,1,1838
6.889,1,2,1838
15.244,1,3,1838
20.38,1,4,1838
22.08,1,5,1838
27.586,1,6,1838
28.922,1,7,1838
28.002,1,8,1838
23.9,1,9,1838
17.885,1,10,1838
11.235,1,11,1838
7.574,1,12,1838
9.72,1,1,1839
10.663,1,2,1839
13.977,1,3,1839
21.718,1,4,1839
23.777,1,5,1839
27.247,1,6,1839
28.835,1,7,1839
27.75,1,8,1839
24.2,1,9,1839
19.609,1,10,1839
10.797,1,11,1839
6.782,1,12,1839
8.813,1,1,1840
11.551,1,2,1840
15.664,1,3,1840
20.183,1,4,1840
23.266,1,5,1840
27.491,1,6,1840
28.532,1,7,1840
27.718,1,8,1840
23.906,1,9,1840
18.129,1,10,1840
11.48,1,11,1840
8.893,1,12,1840
7.177,1,1,1841
10.839,1,2,1841
14.716,1,3,1841
20.12,1,4,1841
24.07,1,5,1841
27.101,1,6,1841
29.563,1,7,1841
27.817,1,8,1841
24.008,1,9,1841
18.737,1,10,1841
12.813,1,11,1841
9.424,1,12,1841
9.7,1,1,1842
11.352,1,2,1842
18.346,1,3,1842
20.632,1,4,1842
24.215,1,5,1842
26.932,1,6,1842
27.685,1,7,1842
27.002,1,8,1842
24.379,1,9,1842
19.044,1,10,1842
11.543,1,11,1842
8.95,1,12,1842
9.788,1,1,1843
10.799,1,2,1843
14.403,1,3,1843
20.194,1,4,1843
23.814,1,5,1843
26.695,1,6,1843
28.029,1,7,1843
27.111,1,8,1843
24.983,1,9,1843
17.968,1,10,1843
13.93,1,11,1843
10.203,1,12,1843
9.605,1,1,1844
11.991,1,2,1844
15.314,1,3,1844
20.558,1,4,1844
23.663,1,5,1844
26.709,1,6,1844
28.838,1,7,1844
27.492,1,8,1844
23.614,1,9,1844
18.88,1,10,1844
12.707,1,11,1844
8.001,1,12,1844
10.281,1,1,1845
11.539,1,2,1845
15.164,1,3,1845
20.458,1,4,1845
23.759,1,5,1845
26.93,1,6,1845
28.691,1,7,1845
27.813,1,8,1845
24.725,1,9,1845
17.851,1,10,1845
12.334,1,11,1845
6.745,1,12,1845
9.913,1,1,1846
10.868,1,2,1846
16.635,1,3,1846
19.216,1,4,1846
24.444,1,5,1846
27.005,1,6,1846
29.111,1,7,1846
27.69,1,8,1846
25.236,1,9,1846
18.576,1,10,1846
13.904,1,11,1846
11.13,1,12,1846
7.033,1,1,1847
11.272,1,2,1847
13.531,1,3,1847
20.787,1,4,1847
22.974,1,5,1847
26.873,1,6,1847
28.25,1,7,1847
27.401,1,8,1847
24.489,1,9,1847
19.147,1,10,1847
12.952,1,11,1847
8.229,1,12,1847
8.796,1,1,1848
12.473,1,2,1848
15.332,1,3,1848
19.156,1,4,1848
24.146,1,5,1848
26.468,1,6,1848
28.318,1,7,1848
27.899,1,8,1848
23.713,1,9,1848
19.409,1,10,1848
11.222,1,11,1848
7.809,1,12,1848
9.246,1,1,1849
10.852,1,2,1849
16.667,1,3,1849
20.533,1,4,1849
23.063,1,5,1849
28.199,1,6,1849
28.762,1,7,1849
28.783,1,8,1849
25.64,1,9,1849
17.158,1,10,1849
13.356,1,11,1849
8.841,1,12,1849
11.016,1,1,1850
11.268,1,2,1850
15.428,1,3,1850
18.391,1,4,1850
21.972,1,5,1850
26.246,1,6,1850
28.379,1,7,1850
29.535,1,8,1850
26.432,1,9,1850
20.167,1,10,1850
13.265,1,11,1850
6.084,1,12,1850
9.373,1,1,1851
10.696,1,2,1851
15.22,1,3,1851
19.965,1,4,1851
25.06,1,5,1851
28.393,1,6,1851
28.901,1,7,1851
29.292,1,8,1851
25.898,1,9,1851
19.334,1,10,1851
12.022,1,11,1851
8.38,1,12,1851
5.772,1,1,1852
13.605,1,2,1852
15.565,1,3,1852
19.314,1,4,1852
24.966,1,5,1852
27.322,1,6,1852
28.458,1,7,1852
28.669,1,8,1852
24.411,1,9,1852
18.665,1,10,1852
11.321,1,11,1852
9.157,1,12,1852
7.208,1,1,1853
8.906,1,2,1853
13.842,1,3,1853
20.584,1,4,1853
24.278,1,5,1853
26.624,1,6,1853
28.586,1,7,1853
26.893,1,8,1853
24.723,1,9,1853
17.646,1,10,1853
13.937,1,11,1853
8.59,1,12,1853
7.571,1,1,1854
11.425,1,2,1854
17.262,1,3,1854
19.548,1,4,1854
23.442,1,5,1854
26.973,1,6,1854
28.071,1,7,1854
27.759,1,8,1854
25.016,1,9,1854
20.746,1,10,1854
12.655,1,11,1854
7.536,1,12,1854
8.499,1,1,1855
9.463,1,2,1855
13.501,1,3,1855
20.77,1,4,1855
26.162,1,5,1855
27.043,1,6,1855
27.815,1,7,1855
27.372,1,8,1855
24.409,1,9,1855
17.653,1,10,1855
13.223,1,11,1855
8.428,1,12,1855
3.842,1,1,1856
9.216,1,2,1856
14.267,1,3,1856
21.345,1,4,1856
24.75,1,5,1856
29.6,1,6,1856
29.53,1,7,1856
30.305,1,8,1856
24.127,1,9,1856
18.594,1,10,1856
11.089,1,11,1856
6.83,1,12,1856
6.68,1,1,1857
13.841,1,2,1857
15.683,1,3,1857
16.658,1,4,1857
23.627,1,5,1857
28.325,1,6,1857
29.539,1,7,1857
29.068,1,8,1857
24.078,1,9,1857
17.958,1,10,1857
13.178,1,11,1857
9.543,1,12,1857
9.904,1,1,1858
10.457,1,2,1858
16.702,1,3,1858
20.87,1,4,1858
24.832,1,5,1858
26.597,1,6,1858
29.494,1,7,1858
28.432,1,8,1858
24.528,1,9,1858
21.439,1,10,1858
11.243,1,11,1858
9.302,1,12,1858
8.616,1,1,1859
13.847,1,2,1859
16.509,1,3,1859
20.033,1,4,1859
26.235,1,5,1859
29.153,1,6,1859
28.76,1,7,1859
29.417,1,8,1859
24.089,1,9,1859
18.141,1,10,1859
14.995,1,11,1859
4.927,1,12,1859
8.182,1,1,1860
9.901,1,2,1860
15.767,1,3,1860
20.613,1,4,1860
25.752,1,5,1860
29.203,1,6,1860
30.337,1,7,1860
27.786,1,8,1860
24.633,1,9,1860
19.443,1,10,1860
11.574,1,11,1860
8.104,1,12,1860
6.959,1,1,1861
10.546,1,2,1861
15.622,1,3,1861
20.585,1,4,1861
24.491,1,5,1861
29.492,1,6,1861
29.796,1,7,1861
28.436,1,8,1861
25.834,1,9,1861
19.331,1,10,1861
15.455,1,11,1861
11.825,1,12,1861
10.673,1,1,1862
10.484,1,2,1862
15.056,1,3,1862
19.891,1,4,1862
24.678,1,5,1862
28.023,1,6,1862
29.916,1,7,1862
29.322,1,8,1862
25.625,1,9,1862
19.423,1,10,1862
13.65,1,11,1862
9.74,1,12,1862
8.764,1,1,1863
11.326,1,2,1863
17.523,1,3,1863
21.428,1,4,1863
23.751,1,5,1863
27.54,1,6,1863
28.821,1,7,1863
28.652,1,8,1863
26.469,1,9,1863
18.572,1,10,1863
12.577,1,11,1863
7.687,1,12,1863
7.057,1,1,1864
11.487,1,2,1864
14.0,1,3,1864
19.324,1,4,1864
24.382,1,5,1864
27.951,1,6,1864
28.976,1,7,1864
28.939,1,8,1864
26.772,1,9,1864
17.86,1,10,1864
12.515,1,11,1864
9.625,1,12,1864
8.005,1,1,1865
11.505,1,2,1865
15.165,1,3,1865
19.528,1,4,1865
24.935,1,5,1865
28.356,1,6,1865
28.653,1,7,1865
28.89,1,8,1865
26.241,1,9,1865
18.832,1,10,1865
13.688,1,11,1865
8.05,1,12,1865
9.34,1,1,1866
10.819,1,2,1866
16.382,1,3,1866
20.925,1,4,1866
23.857,1,5,1866
26.991,1,6,1866
28.945,1,7,1866
28.93,1,8,1866
25.121,1,9,1866
19.729,1,10,1866
13.339,1,11,1866
8.727,1,12,1866
9.033,1,1,1867
12.373,1,2,1867
14.529,1,3,1867
20.867,1,4,1867
24.312,1,5,1867
28.592,1,6,1867
29.209,1,7,1867
29.164,1,8,1867
27.149,1,9,1867
20.829,1,10,1867
14.784,1,11,1867
13.406,1,12,1867
8.717,1,1,1868
11.851,1,2,1868
17.281,1,3,1868
20.243,1,4,1868
24.229,1,5,1868
28.803,1,6,1868
28.578,1,7,1868
27.922,1,8,1868
25.335,1,9,1868
19.704,1,10,1868
11.79,1,11,1868
7.732,1,12,1868
7.944,1,1,1869
10.693,1,2,1869
15.624,1,3,1869
19.318,1,4,1869
23.414,1,5,1869
26.709,1,6,1869
28.929,1,7,1869
28.906,1,8,1869
25.332,1,9,1869
17.612,1,10,1869
14.739,1,11,1869
7.086,1,12,1869
9.609,1,1,1870
12.801,1,2,1870
15.948,1,3,1870
20.566,1,4,1870
25.707,1,5,1870
27.769,1,6,1870
28.941,1,7,1870
27.923,1,8,1870
26.077,1,9,1870
19.946,1,10,1870
14.333,1,11,1870
7.025,1,12,1870
8.913,1,1,1871
12.159,1,2,1871
15.818,1,3,1871
20.27,1,4,1871
23.992,1,5,1871
28.272,1,6,1871
29.698,1,7,1871
30.208,1,8,1871
25.809,1,9,1871
19.197,1,10,1871
13.132,1,11,1871
9.795,1,12,1871
6.032,1,1,1872
11.962,1,2,1872
15.862,1,3,1872
20.98,1,4,1872
26.073,1,5,1872
28.361,1,6,1872
28.754,1,7,1872
28.37,1,8,1872
25.873,1,9,1872
18.919,1,10,1872
10.351,1,11,1872
7.757,1,12,1872
6.76,1,1,1873
11.93,1,2,1873
16.733,1,3,1873
18.576,1,4,1873
24.653,1,5,1873
26.597,1,6,1873
28.389,1,7,1873
27.971,1,8,1873
25.184,1,9,1873
19.348,1,10,1873
12.832,1,11,1873
10.019,1,12,1873
9.279,1,1,1874
12.007,1,2,1874
16.711,1,3,1874
17.601,1,4,1874
24.338,1,5,1874
27.792,1,6,1874
28.954,1,7,1874
30.484,1,8,1874
24.379,1,9,1874
20.162,1,10,1874
14.925,1,11,1874
9.842,1,12,1874
5.619,1,1,1875
11.117,1,2,1875
15.118,1,3,1875
19.04,1,4,1875
24.744,1,5,1875
28.454,1,6,1875
28.771,1,7,1875
27.987,1,8,1875
24.044,1,9,1875
19.359,1,10,1875
14.189,1,11,1875
11.087,1,12,1875
10.787,1,1,1876
12.312,1,2,1876
14.517,1,3,1876
20.579,1,4,1876
23.998,1,5,1876
26.857,1,6,1876
28.624,1,7,1876
28.845,1,8,1876
24.918,1,9,1876
19.386,1,10,1876
11.973,1,11,1876
6.074,1,12,1876
7.48,1,1,1877
10.217,1,2,1877
16.093,1,3,1877
18.934,1,4,1877
23.815,1,5,1877
27.555,1,6,1877
28.501,1,7,1877
29.295,1,8,1877
25.557,1,9,1877
19.822,1,10,1877
11.326,1,11,1877
10.038,1,12,1877
7.747,1,1,1878
10.955,1,2,1878
15.992,1,3,1878
20.417,1,4,1878
23.934,1,5,1878
27.778,1,6,1878
28.186,1,7,1878
28.094,1,8,1878
24.089,1,9,1878
19.854,1,10,1878
13.949,1,11,1878
6.683,1,12,1878
9.026,1,1,1879
11.184,1,2,1879
18.839,1,3,1879
20.341,1,4,1879
26.573,1,5,1879
27.386,1,6,1879
30.465,1,7,1879
26.745,1,8,1879
24.267,1,9,1879
19.518,1,10,1879
14.845,1,11,1879
11.215,1,12,1879
12.585,1,1,1880
10.655,1,2,1880
15.014,1,3,1880
20.849,1,4,1880
25.192,1,5,1880
28.155,1,6,1880
27.489,1,7,1880
25.707,1,8,1880
23.834,1,9,1880
17.289,1,10,1880
8.943,1,11,1880
8.27,1,12,1880
4.473,1,1,1881
10.121,1,2,1881
15.366,1,3,1881
20.395,1,4,1881
23.593,1,5,1881
28.906,1,6,1881
29.422,1,7,1881
28.722,1,8,1881
25.559,1,9,1881
20.634,1,10,1881
11.904,1,11,1881
9.98,1,12,1881
9.46,1,1,1882
12.982,1,2,1882
16.235,1,3,1882
20.212,1,4,1882
22.797,1,5,1882
27.357,1,6,1882
28.204,1,7,1882
25.753,1,8,1882
23.246,1,9,1882
19.813,1,10,1882
13.274,1,11,1882
8.133,1,12,1882
6.511,1,1,1883
9.509,1,2,1883
15.018,1,3,1883
19.667,1,4,1883
24.358,1,5,1883
27.946,1,6,1883
28.343,1,7,1883
28.209,1,8,1883
24.468,1,9,1883
20.043,1,10,1883
13.562,1,11,1883
10.361,1,12,1883
5.84,1,1,1884
11.98,1,2,1884
16.138,1,3,1884
18.464,1,4,1884
22.784,1,5,1884
27.09,1,6,1884
30.199,1,7,1884
28.216,1,8,1884
26.308,1,9,1884
19.88,1,10,1884
13.011,1,11,1884
8.758,1,12,1884
7.32,1,1,1885
10.51,1,2,1885
14.808,1,3,1885
20.638,1,4,1885
22.816,1,5,1885
27.602,1,6,1885
28.224,1,7,1885
28.221,1,8,1885
24.775,1,9,1885
18.22,1,10,1885
14.179,1,11,1885
9.936,1,12,1885
5.589,1,1,1886
11.131,1,2,1886
14.683,1,3,1886
19.573,1,4,1886
26.073,1,5,1886
27.48,1,6,1886
29.51,1,7,1886
28.96,1,8,1886
24.819,1,9,1886
19.396,1,10,1886
12.152,1,11,1886
8.888,1,12,1886
8.579,1,1,1887
12.12,1,2,1887
16.999,1,3,1887
20.104,1,4,1887
24.078,1,5,1887
27.217,1,6,1887
28.654,1,7,1887
28.4,1,8,1887
25.082,1,9,1887
18.169,1,10,1887
13.245,1,11,1887
6.406,1,12,1887
6.533,1,1,1888
11.658,1,2,1888
13.536,1,3,1888
21.057,1,4,1888
23.32,1,5,1888
27.157,1,6,1888
28.476,1,7,1888
27.83,1,8,1888
24.032,1,9,1888
19.891,1,10,1888
11.622,1,11,1888
10.062,1,12,1888
8.086,1,1,1889
10.415,1,2,1889
14.057,1,3,1889
20.198,1,4,1889
23.616,1,5,1889
26.622,1,6,1889
27.745,1,7,1889
27.739,1,8,1889
22.762,1,9,1889
19.036,1,10,1889
11.019,1,11,1889
14.621,1,12,1889
11.504,1,1,1890
13.686,1,2,1890
16.352,1,3,1890
19.71,1,4,1890
23.983,1,5,1890
25.783,1,6,1890
28.403,1,7,1890
27.882,1,8,1890
24.112,1,9,1890
19.478,1,10,1890
13.69,1,11,1890
10.974,1,12,1890
7.692,1,1,1891
11.876,1,2,1891
13.177,1,3,1891
18.541,1,4,1891
22.439,1,5,1891
26.878,1,6,1891
